freq nodes cores time mpipercent
 2601.000 1 16 42.85 0.00
 2601.000 1 12 53.66 0.00
 2601.000 1 8 68.23 0.00
 2601.000 1 4 112.58 0.00
 2601.000 2 16 21.46 1.20
 2601.000 2 12 26.54 0.87
 2601.000 2 8 33.90 0.88
 2601.000 2 4 55.96 0.99
 2601.000 4 16 10.82 2.37
 2601.000 4 12 13.46 2.00
 2601.000 4 8 17.04 1.50
 2601.000 4 4 28.20 1.89
 2601.000 8 16 5.52 4.19
 2601.000 8 12 6.81 3.39
 2601.000 8 8 8.67 3.23
 2601.000 8 4 14.32 3.44
 2601.000 16 16 2.85 7.70
 2601.000 16 12 3.52 6.94
 2601.000 16 8 4.45 5.46
 2601.000 16 4 7.28 5.61
