freq nodes cores time mpipercent
 2601.000 1 16 37.28 0.00
 2601.000 1 12 46.08 0.00
 2601.000 1 8 57.74 0.00
 2601.000 1 4 101.13 0.00
 2601.000 2 16 18.82 1.26
 2601.000 2 12 23.02 0.67
 2601.000 2 8 29.01 0.57
 2601.000 2 4 50.68 1.10
 2601.000 4 16 9.54 2.33
 2601.000 4 12 11.61 1.50
 2601.000 4 8 14.67 1.21
 2601.000 4 4 25.67 2.08
 2601.000 8 16 4.73 2.53
 2601.000 8 12 5.82 2.43
 2601.000 8 8 7.41 2.73
 2601.000 8 4 12.91 3.26
 2601.000 16 16 2.37 5.09
 2601.000 16 12 2.89 3.66
 2601.000 16 8 3.67 3.38
 2601.000 16 4 6.53 4.95
