freq nodes cores time mpipercent
 2601.000 1 16 39.67 0.00
 2601.000 1 12 42.80 0.00
 2601.000 1 8 50.58 0.00
 2601.000 1 4 73.58 0.00
 2601.000 2 16 19.89 1.40
 2601.000 2 12 21.59 0.80
 2601.000 2 8 25.59 0.78
 2601.000 2 4 36.98 1.05
 2601.000 4 16 9.95 1.41
 2601.000 4 12 10.98 2.06
 2601.000 4 8 12.83 1.79
 2601.000 4 4 18.71 1.61
 2601.000 8 16 5.02 3.29
 2601.000 8 12 5.53 3.46
 2601.000 8 8 6.41 2.39
 2601.000 8 4 9.44 2.48
 2601.000 16 16 2.54 5.07
 2601.000 16 12 2.73 4.15
 2601.000 16 8 3.23 4.17
 2601.000 16 4 4.67 3.72
